address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,travel_time,study_time,class_failures,school_support,family_support,internet_access,health,absences,final_grade
Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,<15 min.,5 to 10 hours,0,no,yes,yes,4,0,14
Rural,Greater than 3,Apart,higher education,higher education,other,teacher,15 to 30 min.,5 to 10 hours,0,no,yes,yes,5,4,13
Rural,Greater than 3,Living together,secondary education,higher education,services,health,<15 min.,5 to 10 hours,0,yes,yes,yes,5,2,12
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,<15 min.,<2 hours,0,yes,yes,no,2,8,12
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,3,16,10
Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,<15 min.,<2 hours,0,no,yes,yes,5,8,11
Urban,Greater than 3,Living together,higher education,higher education,services,teacher,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,15
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,<15 min.,<2 hours,0,yes,yes,yes,1,0,10
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,15 to 30 min.,2 to 5 hours,1,yes,no,yes,5,14,11
Urban,Less than or equal to 3,Apart,higher education,secondary education,other,other,<15 min.,2 to 5 hours,0,yes,yes,yes,5,4,11
Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,0,no,yes,yes,3,6,13
Urban,Greater than 3,Living together,higher education,secondary education,health,services,<15 min.,>10 hours,0,no,no,yes,2,2,17
Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,<15 min.,2 to 5 hours,0,no,yes,no,5,4,13
Urban,Greater than 3,Living together,higher education,higher education,services,teacher,<15 min.,2 to 5 hours,0,yes,yes,yes,3,2,12
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,4,0,13
Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,16
Urban,Less than or equal to 3,Apart,higher education,5th to 9th grade,health,health,15 to 30 min.,<2 hours,0,no,no,no,5,4,9
Urban,Greater than 3,Living together,higher education,higher education,services,services,<15 min.,<2 hours,0,yes,yes,yes,5,0,12
Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,other,<15 min.,<2 hours,0,no,no,yes,1,0,13
Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,no,yes,2,2,12
Urban,Greater than 3,Apart,higher education,secondary education,services,services,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,15
Urban,Greater than 3,Living together,higher education,higher education,teacher,health,<15 min.,2 to 5 hours,0,no,yes,no,5,8,16
Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,at_home,<15 min.,2 to 5 hours,0,yes,yes,yes,5,0,14
Urban,Greater than 3,Living together,higher education,5th to 9th grade,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,2,16
Rural,Greater than 3,Living together,higher education,higher education,health,teacher,<15 min.,2 to 5 hours,0,no,yes,no,4,0,16
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,services,>1 hour,<2 hours,0,yes,yes,yes,5,0,16
Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,services,<15 min.,2 to 5 hours,0,yes,no,yes,1,0,10
Urban,Greater than 3,Living together,higher education,secondary education,teacher,health,<15 min.,5 to 10 hours,0,yes,yes,yes,4,0,13
Urban,Less than or equal to 3,Living together,higher education,secondary education,services,services,<15 min.,2 to 5 hours,0,yes,no,yes,2,0,12
Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,1,2,16
Urban,Greater than 3,Apart,higher education,higher education,other,services,<15 min.,>10 hours,0,no,yes,yes,3,0,12
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,other,<15 min.,>10 hours,0,yes,yes,yes,5,0,10
Rural,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,health,services,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,4,0,11
Rural,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,15 to 30 min.,>10 hours,0,no,yes,yes,3,6,15
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,15 to 30 min.,>10 hours,0,no,yes,yes,5,2,11
Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,<15 min.,>10 hours,0,no,no,yes,3,0,10
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,yes,yes,yes,5,2,11
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,<15 min.,<2 hours,0,no,no,no,5,0,14
Urban,Greater than 3,Living together,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,0,yes,yes,yes,5,4,11
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,11
Urban,Greater than 3,Living together,higher education,none,teacher,other,15 to 30 min.,>10 hours,0,no,no,yes,1,0,11
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,>10 hours,0,no,no,yes,3,1,13
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,15 to 30 min.,<2 hours,3,yes,yes,yes,3,0,10
Urban,Greater than 3,Living together,secondary education,higher education,at_home,other,<15 min.,2 to 5 hours,0,no,yes,yes,3,14,11
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,services,<15 min.,<2 hours,0,yes,yes,yes,3,0,12
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,<15 min.,5 to 10 hours,0,yes,no,yes,5,2,9
Urban,Less than or equal to 3,Living together,secondary education,5th to 9th grade,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,4,11
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,15 to 30 min.,2 to 5 hours,0,no,no,yes,4,2,13
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,yes,yes,4,2,12
Urban,Greater than 3,Living together,higher education,higher education,services,services,15 to 30 min.,2 to 5 hours,0,no,no,yes,5,4,12
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,<15 min.,2 to 5 hours,0,no,yes,no,2,6,11
Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,<15 min.,5 to 10 hours,0,no,yes,yes,1,4,15
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,other,15 to 30 min.,2 to 5 hours,0,no,no,yes,3,6,11
Urban,Less than or equal to 3,Apart,higher education,higher education,teacher,health,<15 min.,2 to 5 hours,0,no,yes,no,5,6,10
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,5 to 10 hours,0,no,yes,yes,4,2,11
Urban,Greater than 3,Living together,higher education,secondary education,services,other,<15 min.,<2 hours,0,no,no,yes,1,6,13
Urban,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,yes,yes,no,2,0,12
Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,services,15 to 30 min.,2 to 5 hours,0,no,yes,yes,1,2,14
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,health,<15 min.,>10 hours,0,no,yes,yes,4,2,12
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,15 to 30 min.,>10 hours,0,yes,yes,yes,1,4,13
Rural,Greater than 3,Living together,higher education,secondary education,services,other,15 to 30 min.,<2 hours,0,yes,yes,yes,4,6,11
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,yes,no,5,0,12
Urban,Greater than 3,Living together,higher education,higher education,other,other,<15 min.,<2 hours,0,no,no,yes,1,4,13
Urban,Greater than 3,Living together,higher education,secondary education,other,at_home,<15 min.,5 to 10 hours,0,yes,yes,yes,3,2,13
Urban,Greater than 3,Living together,higher education,higher education,services,services,<15 min.,<2 hours,0,yes,yes,yes,4,12,8
Urban,Greater than 3,Living together,higher education,higher education,services,teacher,<15 min.,5 to 10 hours,0,no,yes,yes,4,0,16
Urban,Greater than 3,Living together,higher education,higher education,services,other,<15 min.,<2 hours,0,no,yes,yes,5,2,12
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,other,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,2,16,10
Urban,Greater than 3,Apart,secondary education,higher education,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,16
Urban,Greater than 3,Apart,secondary education,secondary education,other,health,<15 min.,>10 hours,0,yes,no,no,4,10,10
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,>10 hours,0,yes,yes,yes,3,4,10
Urban,Greater than 3,Living together,secondary education,secondary education,services,other,<15 min.,5 to 10 hours,0,no,yes,yes,5,4,14
Rural,Greater than 3,Living together,higher education,higher education,other,other,>1 hour,>10 hours,0,no,yes,yes,1,8,11
Urban,Less than or equal to 3,Living together,higher education,higher education,health,health,<15 min.,5 to 10 hours,0,no,yes,yes,4,2,14
Urban,Less than or equal to 3,Apart,higher education,higher education,teacher,teacher,<15 min.,<2 hours,0,no,no,yes,4,4,14
Rural,Greater than 3,Living together,secondary education,secondary education,services,other,<15 min.,5 to 10 hours,0,yes,yes,yes,2,4,11
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,<15 min.,2 to 5 hours,1,yes,no,yes,5,12,10
Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,<15 min.,<2 hours,0,no,no,yes,3,10,18
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),health,services,<15 min.,2 to 5 hours,0,no,no,yes,5,4,10
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,no,yes,yes,5,6,14
Urban,Greater than 3,Living together,higher education,higher education,other,teacher,15 to 30 min.,2 to 5 hours,0,no,yes,no,2,4,16
Urban,Greater than 3,Living together,secondary education,secondary education,other,services,15 to 30 min.,<2 hours,0,no,no,yes,5,6,15
Rural,Greater than 3,Living together,primary education (4th grade),secondary education,other,other,30 min. to 1 hour,2 to 5 hours,1,no,yes,yes,5,14,11
Urban,Greater than 3,Living together,secondary education,higher education,other,other,<15 min.,<2 hours,0,no,no,yes,4,2,14
Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,at_home,services,<15 min.,2 to 5 hours,0,no,no,yes,1,0,14
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,<15 min.,>10 hours,0,no,yes,yes,5,6,13
Urban,Less than or equal to 3,Living together,5th to 9th grade,higher education,other,health,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,2,13
Urban,Greater than 3,Living together,higher education,higher education,health,other,<15 min.,<2 hours,0,no,yes,yes,5,4,13
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,5,0,11
Urban,Greater than 3,Living together,secondary education,higher education,services,services,<15 min.,<2 hours,0,yes,no,yes,5,2,9
Urban,Less than or equal to 3,Apart,secondary education,higher education,other,other,<15 min.,2 to 5 hours,0,yes,no,yes,1,0,11
Urban,Greater than 3,Living together,none,primary education (4th grade),at_home,other,<15 min.,2 to 5 hours,2,no,yes,no,5,0,11
Rural,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,<2 hours,0,no,no,yes,4,8,15
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,1,4,13
Rural,Greater than 3,Living together,secondary education,higher education,services,teacher,15 to 30 min.,5 to 10 hours,0,no,yes,yes,5,0,12
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,<15 min.,2 to 5 hours,3,no,yes,yes,5,10,8
Urban,Less than or equal to 3,Apart,5th to 9th grade,primary education (4th grade),other,other,30 min. to 1 hour,<2 hours,0,no,yes,yes,5,8,11
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,30 min. to 1 hour,<2 hours,0,no,yes,yes,4,6,13
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,<2 hours,0,no,yes,yes,5,2,12
Urban,Greater than 3,Apart,secondary education,higher education,services,other,<15 min.,<2 hours,0,no,no,yes,5,12,14
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),at_home,other,>1 hour,<2 hours,0,no,no,no,2,4,11
Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,<15 min.,<2 hours,1,no,no,no,5,12,11
Rural,Greater than 3,Living together,secondary education,higher education,at_home,teacher,>1 hour,2 to 5 hours,0,no,yes,no,5,2,11
Urban,Greater than 3,Living together,higher education,higher education,services,at_home,<15 min.,5 to 10 hours,0,no,yes,yes,5,4,15
Rural,Greater than 3,Living together,secondary education,higher education,at_home,other,30 min. to 1 hour,2 to 5 hours,0,no,no,no,5,2,10
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,>1 hour,2 to 5 hours,0,no,yes,no,3,0,13
Urban,Less than or equal to 3,Living together,secondary education,primary education (4th grade),services,services,15 to 30 min.,<2 hours,0,no,no,yes,4,2,12
Urban,Greater than 3,Apart,secondary education,5th to 9th grade,other,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,10,11
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,services,15 to 30 min.,<2 hours,0,no,yes,no,1,8,11
Urban,Greater than 3,Apart,secondary education,secondary education,other,other,15 to 30 min.,<2 hours,0,no,yes,yes,5,4,10
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),services,other,<15 min.,2 to 5 hours,2,no,no,no,5,0,10
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,15 to 30 min.,<2 hours,0,no,no,yes,5,6,14
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,30 min. to 1 hour,<2 hours,1,no,no,yes,1,2,9
Urban,Greater than 3,Living together,higher education,secondary education,teacher,services,15 to 30 min.,>10 hours,0,yes,yes,yes,3,6,11
Urban,Greater than 3,Apart,secondary education,secondary education,services,services,<15 min.,2 to 5 hours,0,no,no,no,1,24,9
Urban,Greater than 3,Living together,higher education,higher education,services,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,0,13
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,15 to 30 min.,<2 hours,0,no,yes,yes,2,4,11
Urban,Greater than 3,Living together,higher education,higher education,teacher,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,2,13
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,at_home,<15 min.,<2 hours,0,no,no,yes,1,4,11
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,<15 min.,<2 hours,0,no,yes,yes,5,22,6
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,services,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,12
Urban,Less than or equal to 3,Apart,5th to 9th grade,primary education (4th grade),at_home,other,15 to 30 min.,<2 hours,0,no,yes,yes,5,0,10
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,health,services,<15 min.,2 to 5 hours,1,no,yes,yes,3,2,11
Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,at_home,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,6,13
Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,at_home,services,<15 min.,2 to 5 hours,0,no,no,no,1,6,11
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,<2 hours,0,no,yes,yes,5,16,8
Urban,Less than or equal to 3,Apart,5th to 9th grade,primary education (4th grade),services,other,>1 hour,<2 hours,0,no,no,yes,5,0,11
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),other,other,<15 min.,<2 hours,2,no,no,yes,4,0,0
Urban,Less than or equal to 3,Living together,5th to 9th grade,primary education (4th grade),at_home,other,<15 min.,<2 hours,1,no,no,no,5,6,10
Rural,Greater than 3,Living together,secondary education,secondary education,services,services,15 to 30 min.,5 to 10 hours,0,no,yes,yes,3,2,13
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,at_home,<15 min.,<2 hours,0,no,yes,yes,4,6,11
Urban,Greater than 3,Living together,higher education,higher education,other,teacher,<15 min.,<2 hours,0,yes,yes,no,4,0,13
Rural,Greater than 3,Living together,5th to 9th grade,secondary education,at_home,services,<15 min.,2 to 5 hours,0,yes,no,no,1,0,8
Rural,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,other,<15 min.,<2 hours,3,no,no,no,5,14,10
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,30 min. to 1 hour,<2 hours,3,no,yes,no,4,6,11
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,30 min. to 1 hour,<2 hours,0,no,no,no,3,4,11
Urban,Greater than 3,Living together,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,1,no,yes,yes,5,0,1
Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,health,services,15 to 30 min.,<2 hours,2,no,no,yes,5,0,10
Rural,Less than or equal to 3,Living together,5th to 9th grade,primary education (4th grade),at_home,other,15 to 30 min.,<2 hours,1,no,no,yes,5,8,9
Rural,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,2,yes,yes,yes,3,4,8
Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,other,15 to 30 min.,<2 hours,0,no,no,no,5,2,10
Urban,Greater than 3,Living together,primary education (4th grade),secondary education,at_home,services,<15 min.,<2 hours,1,no,no,yes,2,2,8
Rural,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),other,services,>1 hour,2 to 5 hours,0,no,no,no,5,0,8
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,15 to 30 min.,<2 hours,3,no,yes,no,2,10,8
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,4,0,11
Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,<15 min.,2 to 5 hours,0,no,no,yes,3,0,18
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,4,0,13
Urban,Greater than 3,Living together,higher education,higher education,health,health,<15 min.,2 to 5 hours,0,no,yes,yes,3,0,17
Urban,Greater than 3,Living together,secondary education,higher education,other,other,30 min. to 1 hour,<2 hours,1,no,yes,yes,2,4,10
Urban,Greater than 3,Living together,primary education (4th grade),none,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,3,0,18
Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,10
Urban,Greater than 3,Living together,primary education (4th grade),secondary education,at_home,services,<15 min.,2 to 5 hours,0,no,no,yes,3,0,13
Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,4,0,15
Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,other,15 to 30 min.,2 to 5 hours,0,no,no,yes,4,0,11
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,other,15 to 30 min.,2 to 5 hours,0,no,no,yes,5,0,14
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,no,yes,4,4,10
Rural,Greater than 3,Living together,higher education,5th to 9th grade,teacher,services,<15 min.,<2 hours,0,no,yes,yes,3,8,11
Urban,Greater than 3,Living together,higher education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,2,4,13
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,2 to 5 hours,0,no,yes,yes,3,4,11
Urban,Greater than 3,Living together,secondary education,secondary education,services,other,<15 min.,2 to 5 hours,0,no,no,yes,3,0,13
Urban,Greater than 3,Living together,5th to 9th grade,higher education,services,services,<15 min.,2 to 5 hours,0,no,yes,no,5,0,17
Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,32,14
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,8,16
Urban,Greater than 3,Living together,secondary education,secondary education,services,services,<15 min.,2 to 5 hours,0,no,yes,yes,4,6,14
Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,services,services,<15 min.,<2 hours,0,no,yes,yes,3,0,11
Urban,Less than or equal to 3,Living together,5th to 9th grade,primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,no,yes,5,0,16
Urban,Greater than 3,Apart,secondary education,secondary education,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,3,10,14
Rural,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,at_home,other,<15 min.,2 to 5 hours,0,no,no,no,3,6,10
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,services,services,<15 min.,2 to 5 hours,0,no,no,yes,2,6,13
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,services,<15 min.,2 to 5 hours,0,no,no,yes,3,0,12
Urban,Greater than 3,Living together,primary education (4th grade),5th to 9th grade,at_home,services,15 to 30 min.,2 to 5 hours,0,no,no,yes,5,16,12
Rural,Greater than 3,Living together,secondary education,secondary education,services,services,<15 min.,<2 hours,0,no,yes,yes,5,0,10
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,15 to 30 min.,<2 hours,0,no,no,yes,3,0,12
Urban,Less than or equal to 3,Living together,5th to 9th grade,higher education,services,services,<15 min.,2 to 5 hours,0,no,no,yes,5,8,16
Urban,Greater than 3,Living together,higher education,higher education,services,teacher,<15 min.,<2 hours,0,no,no,yes,5,4,14
Rural,Less than or equal to 3,Living together,secondary education,secondary education,teacher,other,30 min. to 1 hour,<2 hours,0,no,yes,yes,3,16,12
Urban,Greater than 3,Living together,higher education,higher education,services,teacher,15 to 30 min.,<2 hours,1,no,yes,yes,2,30,16
Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,no,yes,yes,3,0,11
Urban,Greater than 3,Living together,higher education,secondary education,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,2,2,15
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,<15 min.,2 to 5 hours,0,yes,yes,no,4,4,12
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,yes,no,1,0,15
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,<2 hours,0,no,yes,yes,3,21,13
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,15 to 30 min.,>10 hours,0,no,yes,yes,5,6,13
Urban,Greater than 3,Living together,secondary education,higher education,at_home,services,<15 min.,5 to 10 hours,1,no,yes,yes,5,14,8
Urban,Greater than 3,Apart,secondary education,primary education (4th grade),services,other,<15 min.,2 to 5 hours,0,no,yes,yes,4,2,12
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,2 to 5 hours,0,no,no,yes,1,4,15
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,15 to 30 min.,<2 hours,0,no,yes,no,5,2,13
Rural,Greater than 3,Living together,higher education,secondary education,teacher,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,4,0,12
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,>10 hours,0,no,yes,yes,3,4,12
Urban,Less than or equal to 3,Living together,higher education,higher education,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,3,15,12
Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,yes,yes,yes,4,0,13
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,10,11
Rural,Less than or equal to 3,Living together,higher education,higher education,services,other,<15 min.,<2 hours,0,no,yes,no,3,6,11
Urban,Less than or equal to 3,Living together,secondary education,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,0,no,no,yes,1,2,15
Urban,Greater than 3,Living together,higher education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,no,yes,1,16,10
Urban,Less than or equal to 3,Living together,secondary education,secondary education,services,health,<15 min.,2 to 5 hours,0,no,yes,yes,4,10,10
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,at_home,other,15 to 30 min.,<2 hours,0,no,yes,no,3,4,13
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,at_home,<15 min.,5 to 10 hours,0,no,yes,yes,4,0,13
Rural,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),at_home,services,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,0,11
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,<15 min.,5 to 10 hours,0,no,yes,no,5,12,12
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,services,teacher,<15 min.,2 to 5 hours,0,yes,no,yes,3,0,14
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,3,no,yes,yes,4,9,10
Urban,Greater than 3,Living together,higher education,higher education,teacher,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,4,16
Rural,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,no,yes,4,4,8
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,3,2,17
Urban,Less than or equal to 3,Living together,5th to 9th grade,secondary education,services,services,<15 min.,2 to 5 hours,0,no,yes,yes,3,0,11
Urban,Less than or equal to 3,Living together,5th to 9th grade,primary education (4th grade),at_home,other,>1 hour,2 to 5 hours,0,yes,yes,yes,3,2,11
Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,15 to 30 min.,5 to 10 hours,0,no,no,yes,3,0,16
Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,<15 min.,2 to 5 hours,0,no,no,yes,3,0,12
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,1,0,13
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,yes,yes,yes,2,0,13
Urban,Greater than 3,Living together,higher education,higher education,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,14
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,2,9
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,at_home,other,15 to 30 min.,5 to 10 hours,0,no,no,yes,2,0,12
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,4,0,16
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),other,other,<15 min.,<2 hours,0,no,no,yes,5,4,10
